c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
<b>January</b>,202.416,211.080,211.143,216.687,220.223,226.665,230.280,233.916,233.707,236.916,0.2
<b>February</b>,203.499,211.693,212.193,216.741,221.309,227.663,232.166,234.781,234.722,,
<b>March</b>,205.352,213.528,212.709,217.631,223.467,229.392,232.773,236.293,236.119,,
<b>April</b>,206.686,214.823,213.240,218.009,224.906,230.085,232.531,237.072,236.599,,
<b>May</b>,207.949,216.632,213.856,218.178,225.964,229.815,232.945,237.900,237.805,,
<b>June</b>,208.352,218.815,215.693,217.965,225.722,229.478,233.504,238.343,238.638,,
<b>July</b>,208.299,219.964,215.351,218.011,225.922,229.104,233.596,238.250,238.654,,
<b>August</b>,207.917,219.086,215.834,218.312,226.545,230.379,233.877,237.852,238.316,,
<b>September</b>,208.490,218.783,215.969,218.439,226.889,231.407,234.149,238.031,237.945,,
<b>October</b>,208.936,216.573,216.177,218.711,226.421,231.317,233.546,237.433,237.838,,
<b>November</b>,210.177,212.425,216.330,218.803,226.230,230.221,233.069,236.151,237.336,,
<b>December</b>,210.036,210.228,215.949,219.179,225.672,229.601,233.049,234.812,236.525,,
&nbsp;,,,,,,,,,,,
<b>Annual Avg.</b>,207.342,215.303,214.537,218.056,224.939,229.594,232.957,236.736,237.017,,
&nbsp;,,,,,,,,,,,
<b>Y/Y % Chg.</b>,2.8,3.8,-0.4,1.6,3.2,2.1,1.5,1.6,0.1,,
